origin,id,url,name,team,score,phase,is_challenge,is_webembed,progress,summary,hashtag,image_url,source_url,webpage_url,autotext_url,download_url,contact_url,logo_color,logo_icon,excerpt,created_at,updated_at,maintainer,event_url,event_name,category_id,category_name,stats-total,stats-updates,stats-commits,stats-during,stats-people,stats-words,stats-allwords,stats-sizetotal,stats-sizepitch,team_count
https://hack.opendata.ch,1059,https://hack.opendata.ch/project/1059,Add St.Gallen Energy,,0,Ask,True,False,0,,,,,,,,,,,,2023-10-30T16:14,2023-10-30T16:14,,https://hack.opendata.ch/event/67,Open Farming Hackdays 2024,50,Belegung neu erstellter Wohnungen,0,0,0,0,0,,,0,0,0
https://hack.opendata.ch,1076,https://hack.opendata.ch/project/1076,parlerStadtparlament,"beat_tdtli, orhansaeedi, simon_stratemeier, marlen_hämmerli, raquel_kehl, tobias_mller",100,Analyse,False,True,40,Open Data Hack Challenge No. 5:  Welche Themen beschäftigen das Stadtparlament St.Gallen wie stark?,,https://avatars.githubusercontent.com/u/1352873?v=4,https://github.com/sstratemeier/stadtparlaments-dashboard,https://youtu.be/fUbmHfNOtno,https://github.com/sstratemeier/stadtparlaments-dashboard,https://github.com/sstratemeier/stadtparlaments-dashboard/releases,https://github.com/sstratemeier/parlerStadtparlament/issues,,star,"[Github Repo](https://github.com/sstratemeier/parlerStadtparlament)

Video Alternativer Link auf \[Google Drive\]\(https://drive\.google\.com/drive/folders/1RKf1eUuCuI7YBX5QFhoou2vY0h7xMyzC?usp=drive\_link\]\(Google Drive\)\)",2023-12-01T21:07,2023-12-13T14:10,beat_tdtli,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,55,Themen im St.Galler Stadtparlament,161,153,120,157,6,,,5519,227,6
https://hack.opendata.ch,1075,https://hack.opendata.ch/project/1075,Team Sensors & Co.,"yasmin_mohamed_sufi, evdokia_pushnova, clemens_beeken, mathias_moser, andre, lisa_katharina_rumplmayr",100,Clean,False,True,30,"Durch Datenanalysen: Auffüll- & Zuwachsrate je Glasart, Leerungszeitpunkte, Sensorzustände. Für optimierte Tourenplanung & Prognosen.",,https://avatars.githubusercontent.com/u/42068941?v=4,https://github.com/Clebek/openhackSG_glasmuell/tree/main,https://player.vimeo.com/video/890653007,https://github.com/Clebek/openhackSG_glasentsorgung/blob/main/README.md,https://github.com/Clebek/openhackSG_glasentsorgung/releases,https://github.com/Clebek/openhackSG_glasentsorgung/issues,,,"In this document we analysed the sensors of every glass type (white glass, green glas, brown glas) according to their quality (good quality -- green, middle / medium quality -- yellow, bad quality -- red, broken sensors -- lilac).
This is a precise overview and summary of what can be found in the individual codes of the corresponding glass types (Braunglas\_Sensors\_2023.ipynb, Weissglas\_Sensors\_2023.ipynb, grün\_broken.ipynb, grün\_broken\_now.ipynb) that we uploaded on GitHub:

[https://1...",2023-12-01T20:39,2023-12-10T11:14,yasmin_mohamed_sufi,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,53,Auswertung des Füllverhaltens von Glassammelstellen,57,50,32,57,6,,,4503,616,6
https://hack.opendata.ch,1079,https://hack.opendata.ch/project/1079,Megatron on ICE,"noah_lüchinger, christoph_landolt, ruwen_frick",97,Get,False,False,10,"Auto-fetch, clean JSON to NOSQL, LLAMA-indexed access to real-time building data via NLP prompts, ensuring accuracy.",,https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/2058/NGH4IMIY5E5753X9PDUVQTBV/megatron.png,https://github.com/clandolt/OpenDataHackSG_2023.git,https://github.com/clandolt/OpenDataHackSG_2023/blob/christoph/video_pitch/MEGATRON_ON_ICE_video_pitch.mp4,https://github.com/clandolt/OpenDataHackSG_2023/blob/christoph/README.md,https://github.com/clandolt/OpenDataHackSG_2023/releases,https://github.com/clandolt/OpenDataHackSG_2023/issues,,,"Auf der sitios Webseite werden umfassende Wnformationen zum Zutritt zu öffentlichen Gebäuden für menschen mit Einschränkung in der Mobilität bereitgestellt.
Aufgrund der grossen Menge an Informationen ist es für die Benutzer aber oft schwierig, ihren Besuch zu planen.
Unsere Lösung sammelt die vorhandenen Daten, bereinigt diese und speichert diese in einer NOSQL-Datenbank ab.
Anschliessend können die Benutzer Fragen zu ihrem Besuch im jeweiligen Gebäude mittels Chatbot stellen und bekommen ih...",2023-12-02T09:19,2023-12-10T11:13,noah_lüchinger,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,52,Umfassende Informationen - einfach erklärt. ,65,61,43,61,3,,,4112,1095,3
https://hack.opendata.ch,1086,https://hack.opendata.ch/project/1086,Rocero: Auswertung des Füllverhaltens der Glassammelstellen,"cdric_christen, roman_weiss, n3xed, romeo_bornand",93,Clean,False,False,30,"Wir haben Korrelation zwischen Bevölkerung und Füllverhalten analysiert, sowie eine zeitliche Vorhersage der Füllhöhe pro Sensor errechnet.",,"https://img.luzernerzeitung.ch/2020/10/5/d3ca97ec-2446-45eb-8ab3-1a0a5161c38e.jpeg?width=1360&height=907&fit=bounds&quality=75&auto=webp&crop=1280,853,x0,y0",https://github.com/N3xed/glass-utilization-predictor,,https://github.com/N3xed/glass-utilization-predictor,https://github.com/N3xed/glass-utilization-predictor/releases,https://github.com/N3xed/glass-utilization-predictor/issues,,,"https://vimeo.com/890737549?share=copy

Repository: https://github.com/N3xed/glass-utilization-predictor",2023-12-03T07:24,2023-12-10T11:12,cdric_christen,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,53,Auswertung des Füllverhaltens von Glassammelstellen,47,42,19,46,4,,,1943,106,4
https://hack.opendata.ch,1083,https://hack.opendata.ch/project/1083,Routenplaner für die nächste Woche,"peter_kuhn, patrick_wissiak",92,Verify,False,True,20,Wir nutzten ein Long short-term memory neuronales Netztwerk um alle Routen der nächsten Woche in Google Maps zu planen,OST SML,https://avatars.githubusercontent.com/u/46522132?v=4,https://github.com/kevinloeffler/opendata-hackathon,https://drive.google.com/file/d/1CC_mNURfpeA5qBCupbWTf5Dx98oFpbap/view?usp=drive_link,https://github.com/kevinloeffler/opendata-hackathon/,https://github.com/kevinloeffler/opendata-hackathon/releases,https://github.com/kevinloeffler/opendata-hackathon/issues,#33d17a,recycle,Für den Google Drive Link muss man den Link eventuell in einem separaten Fenster öffnen.,2023-12-02T18:10,2023-12-10T11:13,,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,53,Auswertung des Füllverhaltens von Glassammelstellen,56,54,43,52,2,,,7077,88,2
https://hack.opendata.ch,1078,https://hack.opendata.ch/project/1078,Parcaster,"rita_haffter, jan_frei",64,Get,False,True,10,Analysis and ML based prediction of free parking spaces in St. Gallen.,,https://avatars.githubusercontent.com/u/152620598?v=4,https://github.com/parcaster/parcaster,https://youtu.be/G3h_JVjOiR8,https://github.com/parcaster/parcaster/blob/master/README.md,https://github.com/orgs/parcaster/repositories,https://github.com/parcaster/parcaster/issues,,,"# ParCaster

## Ausgangslage

Die Suche nach einem Parkplatz hat viele negative Auswirkungen, wie z. B. Zeit-, Treibstoff- und Emissionsverschwendung,
überhöhte Parkgebühren usw. Um die Parkplatzsuche zu erleichtern, ist das Ziel dieses Projekts durch die Anwendung von
maschinellem Lernen die Verfügbarkeit von Parkplätzen in der Stadt St. Gallen zur geschätzten Ankunftszeit der Nutzer
vorherzusagen. Der Nutzer erhält eine personalisierte Parkplatzempfehlung.

## Beschreibung ParCaster

ParCaster...",2023-12-02T08:20,2023-12-02T20:15,rita_haffter,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,,,52,49,30,51,2,,,4109,0,2
https://hack.opendata.ch,1084,https://hack.opendata.ch/project/1084,Team?,lukas_derungs,60,Get,False,True,10,,,https://avatars.githubusercontent.com/u/94537827?v=4,https://github.com/Cantbeard/opendatasg_cntft,https://player.vimeo.com/video/890725412?h=6023caaf5d,https://github.com/Cantbeard/opendatasg_cntft,https://github.com/Cantbeard/opendatasg_cntft/releases,https://github.com/Cantbeard/opendatasg_cntft/issues,,,"Readme -> [Cantbeard/opendatasg_cntft (github.com)](https://github.com/Cantbeard/opendatasg_cntft),

Funktionierender präsentationslink -> [2023-12-03 07-10-51 on Vimeo](https://vimeo.com/890725412?share=copy)",2023-12-02T18:54,2023-12-10T11:13,lukas_derungs,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,53,Auswertung des Füllverhaltens von Glassammelstellen,34,32,7,33,1,,,1034,211,1
https://hack.opendata.ch,1082,https://hack.opendata.ch/project/1082,Visualisierung von umfassenden Informationen,"markus_koller, andri_puz",53,Clean,False,True,30,Ein Beispiel zur Visualisierung von Daten über Zugangsmöglichkeiten aus der Ginto Guide App,,,https://github.com/toupeira/open-data-hack-ginto-visualization,https://www.youtube.com/watch?v=K7tPI_liApk,,,,,pie-chart,"* Video: https://www.youtube.com/watch?v=K7tPI\_liApk
* Demo: https://toupeira.github.io/open-data-hack-ginto-visualization/
* Slides: [Open Data Hack St. Gallen 2023 - Visualisierung von umfassenden Informationen.pdf](https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/2046/9C5HB5XA303HRUFY06OSK1A5/Open_Data_Hack_St._Gallen_2023__Visualisierung_von_umfassenden_Informationen.pdf)",2023-12-02T12:48,2023-12-03T14:58,markus_koller,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,52,Umfassende Informationen - einfach erklärt. ,15,12,0,15,2,,,502,411,2
https://hack.opendata.ch,1085,https://hack.opendata.ch/project/1085,Team Wololoo,"vincent_haufe, hannes_scherrer, sebastian_fry, lukas_schöpf",48,Get,False,True,10,,,https://avatars.githubusercontent.com/u/51965622?v=4,https://github.com/Saurausli/Wololoo,https://player.vimeo.com/video/890671913?h=2d2103e032,https://github.com/Saurausli/Wololoo.git,https://github.com/Saurausli/Wololoo/releases,https://github.com/Saurausli/Wololoo/issues,,,https://vimeo.com/890671913?share=copy,2023-12-02T20:44,2023-12-03T15:00,vincent_haufe,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,53,Auswertung des Füllverhaltens von Glassammelstellen,25,20,2,25,4,,,6353,38,4
https://hack.opendata.ch,1077,https://hack.opendata.ch/project/1077,GreenLight,"nathalie_kern, maria_näf",44,Get,False,True,10,GreenLight vereinfacht mittels KI und einer einfachen und übersichtlichen Website die Projektanalyse bezüglich Nachhaltigkeit von Projekten.,,https://avatars.githubusercontent.com/u/146099878?v=4,https://github.com/sophiemaier/Open-Data-Hack-2023,https://clipchamp.com/watch/5rnk7Zc3X4Z,https://github.com/sophiemaier/Open-Data-Hack-2023,https://github.com/sophiemaier/Open-Data-Hack-2023/releases,https://github.com/sophiemaier/Open-Data-Hack-2023/issues,,,"**Code**
https://github.com/sophiemaier/Open-Data-Hack-2023",2023-12-01T21:16,2023-12-10T11:14,nathalie_kern,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,54,Projektanalyse Nachhaltige Entwicklung  ,20,17,7,20,2,,,1729,60,2
https://hack.opendata.ch,1074,https://hack.opendata.ch/project/1074,Projektanalyse Online,david_eggenberger,43,Verify,False,True,20,Versuch die bestehende Projektanalyse vom Excel-File in ein Nutzer*innen freundliches Web Format zu bringen,,,,https://youtu.be/sQxEIZh0DPU,,,,,,"**Projektanalyse Online**

Die Auswirkungen eines Projekts auf Umwelt, Wirtschaft und Gesellschaft mithilfe der vorhanden Excel Sheets zu erfassen ist ein langwieriger und unübersichtlicher Prozess. Mit der Projektanalyse Online versuche ich Abhilfe zu schaffen.

**Die Lösung**
Die Nutzer\*innen werden schrittweise durch den Projektanalyse Prozess gelotst. Ein intuitives und ansprechendes UI soll dies so angenehm wie möglich machen. Im ersten Schritt werden den Nutzer\*innen Handlungsgrunds...",2023-12-01T19:26,2023-12-10T11:14,david_eggenberger,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,54,Projektanalyse Nachhaltige Entwicklung  ,12,10,0,12,1,,,492233,492126,1
https://hack.opendata.ch,1080,https://hack.opendata.ch/project/1080,Sitios - Informationen vereinfachen,silvio_oberholzer,18,Find,False,False,5,openDataHack2023SG,,https://avatars.githubusercontent.com/u/124247964?v=4,https://github.com/silviodalix/opendatahackSitios,,https://github.com/silviodalix/opendatahackSitios,https://github.com/silviodalix/opendatahackSitios/releases,https://github.com/silviodalix/opendatahackSitios/issues,,,https://github.com/silviodalix/opendatahackSitios,2023-12-02T10:26,2023-12-02T10:56,silvio_oberholzer,https://hack.opendata.ch/event/66,Open Data Hack St.Gallen,52,Umfassende Informationen - einfach erklärt. ,9,7,5,9,1,,,107,49,1
